episode,reward,length,success,epsilon,replay_size,avg_reward,avg_length,success_rate,avg_loss
218,-3678.9000000000065,200,False,0.7219897265108046,32134,-1606.0545000000006,133.79,53.0,84.52952547073365
219,-1677.2999999999997,174,True,0.7209067419210384,32308,-1609.1570000000004,134.74,53.0,81.9017695426941
220,-1925.9999999999984,200,False,0.7198253818081569,32508,-1606.7550000000006,134.74,53.0,80.31601432800294
221,-5967.300000000008,200,False,0.7187456437354447,32708,-1646.6450000000007,134.74,53.0,65.0242705154419
222,-3663.3000000000056,200,False,0.7176675252698416,32908,-1676.5310000000013,135.6,52.0,72.0728409576416
223,6.899999999999999,8,True,0.7165910239819369,32916,-1662.2325000000012,133.89,52.0,71.77870008468628
224,-567.3499999999992,99,True,0.715516137445964,33015,-1668.1135000000015,134.85,52.0,80.72526371002198
225,-4363.500000000008,200,False,0.7144428632397951,33215,-1692.4195000000009,134.85,52.0,86.29942552566528
226,-67.19999999999999,32,True,0.7133711989449355,33247,-1668.9955000000014,133.17,53.0,87.5132027053833
227,-4603.300000000007,200,False,0.7123011421465182,33447,-1697.8955000000014,133.17,53.0,78.7429082107544
228,-5575.500000000008,200,False,0.7112326904332984,33647,-1736.9505000000013,133.17,53.0,74.6943528175354
229,-1227.4999999999989,128,True,0.7101658413976485,33775,-1709.355500000001,132.45,54.0,75.1889595413208
230,-2227.7000000000003,200,False,0.709100592635552,33975,-1715.5885000000012,132.45,54.0,80.58048805236817
231,-505.24999999999994,83,True,0.7080369417465987,34058,-1700.7950000000012,131.28,55.00000000000001,78.20652261734008
232,-1718.9999999999986,200,False,0.7069748863339789,34258,-1713.5965000000015,132.63,54.0,96.80137115478516
233,-1701.5999999999974,200,False,0.7059144240044779,34458,-1701.0525000000011,132.63,54.0,81.4394095993042
234,-16.74999999999999,15,True,0.7048555523684712,34473,-1691.062000000001,131.24,54.0,84.48647844314576
235,-1744.3499999999985,157,True,0.7037982690399185,34630,-1691.2925000000012,130.81,55.00000000000001,96.20087299346923
236,-1636.4999999999973,156,True,0.7027425716363587,34786,-1702.8205000000014,131.73,55.00000000000001,80.55273698806762
237,-1665.3499999999995,161,True,0.7016884577789042,34947,-1694.333000000001,131.34,56.00000000000001,73.21941242218017
238,-2286.750000000004,195,True,0.7006359250922359,35142,-1702.336500000001,131.29,56.99999999999999,96.57627052307129
239,-968.2499999999987,105,True,0.6995849712045976,35247,-1693.823000000001,130.34,57.99999999999999,96.11738285064698
